年份,月份,總電費,用電度數,公共電費,純住宅電費,水費,瓦斯費
2023,1,,,,,,
2023,2,,,,,,
2023,3,,,,,,
2023,4,,,,,,315
2023,5,,489,,,,
2023,6,1587,,,,,284
2023,7,,721,,,,
2023,8,2282,,,,,180
2023,9,,1209,,,,
2023,10,1369,,,,,36
2023,11,,1089,,,,
2023,12,333,,,,,135
2024,1,,596,,,,
2024,2,1130,,,,,170
2024,3,,550,,,,
2024,4,1967,,793,1174,,211
2024,5,,199,,,,
2024,6,2998,,881,2117,,315
2024,7,,135,,,,
2024,8,3803,,1212,2591,,242
2024,9,,351,,,,
2024,10,2515,,1137,1378,,222
2024,11,,264,,,,
2024,12,2089,,931,1158,229,232
2025,1,,665,,,,
2025,2,2076,,836,1240,295,335
2025,3,,717,,,,
2025,4,2590,,919,1671,264,294
2025,5,,692,,,,
