年份,月份,用電度數,電費,水費,瓦斯費
2023,1,,,312,293
2023,2,,,,
2023,3,,,280,325
2023,4,,,,
2023,5,489,820,291,325
2023,6,,,,
2023,7,721,1419,249,273
2023,8,,,,
2023,9,1209,3497,228,221
2023,10,,,,
2023,11,1089,2844,249,242
2023,12,,,,
2024,1,596,1045,228,252
2024,2,,,,
2024,3,550,948,207,293
2024,4,,,,
2024,5,199,108,165,221
2024,6,,,,
2024,7,135,0,144,242
2024,8,,,,
2024,9,351,104,165,158
2024,10,,,,
2024,11,264,0,207,221
2024,12,,,,
2025,1,665,1306,427,563
2025,2,,,,
2025,3,717,1473,385,553
2025,4,,,,
2025,5,692,1397,364,543
2025,6,,,,
2025,7,750,1650,354,418
